Organism,sub_group,era,age,individ_count
Equus przewalskii,Przewalski,modern,,4
Equus ferus,Przewalski-hybrid,modern,,1
Equus ferus,Przewalski,modern,,5
Equus ferus,Marwari,modern,,1
Equus ferus,,modern,,15
Equus caballus,Yakutian horse,modern,Age,9
Equus caballus,Welsh Pony,modern,,2
Equus caballus,UK Warmblood (>50% Quarter),modern,,1
Equus caballus,Trakehner,modern,,1
Equus caballus,Thoroughbred,modern,,19
Equus caballus,Tennessee Walking Horse,modern,,1
Equus caballus,Swiss Warmblood,modern,,2
Equus caballus,Standardbred,modern,,19
Equus caballus,Sorraia,modern,,2
Equus caballus,Shetland,modern,,3
Equus caballus,Saxon-Thuringian Heavy Warmblood,modern,,1
Equus caballus,Quarter Horse,modern,,3
Equus caballus,Percheron horse,modern,,1
Equus caballus,Oldenburger,modern,,1
Equus caballus,Noriker,modern,,1
Equus caballus,Morgan Horse,modern,,1
Equus caballus,Mongolian,modern,,6
Equus caballus,Mangalarga Marchador,modern,,1
Equus caballus,Lipizzan,modern,,4
Equus caballus,Jeju horse,modern,,6
Equus caballus,Icelandic,modern,,2
Equus caballus,Holsteiner,modern,,5
Equus caballus,Hanoverian,modern,,4
Equus caballus,Hannoveraner,modern,,1
Equus caballus,Haflinger,modern,,4
Equus caballus,German WarmBlood,modern,,13
Equus caballus,German Riding Pony,modern,,3
Equus caballus,Friesian dwarf,modern,,7
Equus caballus,Franches-Montagnes,modern,,28
Equus caballus,Dutch Warmblood,modern,,1
Equus caballus,Dulmen pony,modern,,1
Equus caballus,Connemara Pony,modern,,4
Equus caballus,Arabian,modern,,5
Equus caballus,American Paint,modern,,4
Equus caballus,American Miniature Horse,modern,,1
Equus caballus,Akhal-Teke,modern,,4
Equus caballus,,modern,,16
Hippidion saldiasi,"CGG_1_017438 CDM4 Hippidion saldiasi Cueva del Milodón Magallanes\, Southern Chile",ancient,,1
Equus hemionus,Tepe Mehr Ali,ancient,Age (years ago) ,1
Equus hemionus,Tepe Hasanlu,ancient,Age (years ago) ,1
Equus hemionus,Sagzabad,ancient,Age (years ago) ,1
Equus ferus,"CGG_1_011850 YT03 / 40 / ABC9779 Equus ferus Irish Gulch Central Alaska\, USA",ancient,,1
Equus ferus,"CGG_1_011849 YT03 / 185 / ABC9926 Equus ferus Irish Gulch Central Alaska\, USA",ancient,,1
Equus caballus,Šebastovce,ancient,Age (years ago) ,1
Equus caballus,museum specimen,ancient,Age (years ago) ,2
Equus caballus,Yerqorqan,ancient,Age (years ago) ,1
Equus caballus,Yenikapi,ancient,Age (years ago) ,14
Equus caballus,Witter Place,ancient,Age (years ago) ,6
Equus caballus,Whitehall Roman Villa,ancient,Age (years ago) ,1
Equus caballus,Vicerrectorado,ancient,Age (years ago) ,1
Equus caballus,"Vermand, rue De Gaulle",ancient,Age (years ago) ,1
Equus caballus,Uushgiin Uvur,ancient,Age (years ago) ,11
Equus caballus,Uppsala,ancient,Age (years ago) ,1
Equus caballus,Tepe Hasanlu,ancient,Age (years ago) ,9
Equus caballus,Tavan Tolgoi,ancient,Age (years ago) ,3
Equus caballus,Syrgal 1,ancient,Age (years ago) ,1
Equus caballus,Steim am Rhein Charregass,ancient,Age (years ago) ,1
Equus caballus,Solothurn-Vigier,ancient,Age (years ago) ,2
Equus caballus,Sintashta,ancient,Age (years ago) ,2
Equus caballus,Shar-I-Qumis,ancient,Age (years ago) ,1
Equus caballus,Sayangorsk,ancient,Age (years ago) ,1
Equus caballus,Saint-Quentin,ancient,Age (years ago) ,1
Equus caballus,Saint-Just-en-Chaussée,ancient,Age (years ago) ,1
Equus caballus,Sagzabad,ancient,Age (years ago) ,1
Equus caballus,Saadjärve,ancient,Age (years ago) ,1
Equus caballus,Ridala,ancient,Age (years ago) ,1
Equus caballus,Quoygrew,ancient,Age (years ago) ,1
Equus caballus,Potapovka I,ancient,Age (years ago) ,1
Equus caballus,Otok,ancient,Age (years ago) ,1
Equus caballus,Otepää,ancient,Age (years ago) ,1
Equus caballus,Olon Kurin Gol,ancient,Age (years ago) ,2
Equus caballus,Oktyabrsky,ancient,Age (years ago) ,2
Equus caballus,Nuštar,ancient,Age (years ago) ,2
Equus caballus,Noyon - Orroire,ancient,Age (years ago) ,1
Equus caballus,Miciurin,ancient,Age (years ago) ,1
Equus caballus,"Metz, Place de la République",ancient,Age (years ago) ,1
Equus caballus,Merzly Yar,ancient,Age (years ago) ,1
Equus caballus,Marvelė cemetery,ancient,Age (years ago) ,9
Equus caballus,Mainz,ancient,Age (years ago) ,1
Equus caballus,"Macon, rue Rambuteau",ancient,Age (years ago) ,1
Equus caballus,Longueil-Annel,ancient,Age (years ago) ,1
Equus caballus,Lebyazhinka IV,ancient,Age (years ago) ,1
Equus caballus,Kulian Cave,ancient,Age (years ago) ,1
Equus caballus,Krasnokamenka,ancient,Age (years ago) ,2
Equus caballus,Krasnaya Gorka,ancient,Age (years ago) ,1
Equus caballus,Kokorevo,ancient,Age (years ago) ,1
Equus caballus,Khotont,ancient,Age (years ago) ,1
Equus caballus,Khatuu 2,ancient,Age (years ago) ,1
Equus caballus,Iceland_NEG_03,ancient,,1
Equus caballus,Iceland_NEG_02,ancient,,1
Equus caballus,Iceland_NEG_01,ancient,,1
Equus caballus,Iceland_HB_22,ancient,,1
Equus caballus,Iceland_HB_21,ancient,,1
Equus caballus,Iceland_HB_20,ancient,,1
Equus caballus,Iceland_HB_19,ancient,,1
Equus caballus,Iceland_HB_18,ancient,,1
Equus caballus,Iceland_HB_17,ancient,,1
Equus caballus,Iceland_HB_16,ancient,,1
Equus caballus,Iceland_HB_15,ancient,,1
Equus caballus,Iceland_HB_14,ancient,,1
Equus caballus,Iceland_HB_13,ancient,,1
Equus caballus,Iceland_HB_12,ancient,,1
Equus caballus,Iceland_HB_11,ancient,,1
Equus caballus,Iceland_HB_10,ancient,,1
Equus caballus,Iceland_HB_09,ancient,,1
Equus caballus,Iceland_HB_08,ancient,,1
Equus caballus,Iceland_HB_07,ancient,,1
Equus caballus,Iceland_HB_06,ancient,,1
Equus caballus,Iceland_HB_05,ancient,,1
Equus caballus,Iceland_HB_04,ancient,,1
Equus caballus,Iceland_HB_03,ancient,,1
Equus caballus,Iceland_HB_02,ancient,,1
Equus caballus,Iceland_HB_01,ancient,,1
Equus caballus,Halvai 5,ancient,Age (years ago) ,1
Equus caballus,Halvai 3,ancient,Age (years ago) ,1
Equus caballus,Granastaðir,ancient,Age (years ago) ,1
Equus caballus,Goyet,ancient,Age (years ago) ,4
Equus caballus,Gol Mod II,ancient,Age (years ago) ,5
Equus caballus,Frankfurt-Heddenheim,ancient,Age (years ago) ,1
Equus caballus,Fengtai,ancient,Age (years ago) ,1
Equus caballus,"Evreux, Clos-au-Duc",ancient,Age (years ago) ,3
Equus caballus,Els Vilars,ancient,Age (years ago) ,1
Equus caballus,El Acequión,ancient,Age (years ago) ,2
Equus caballus,Derkul,ancient,Age (years ago) ,2
Equus caballus,"Dariali, Tamara Fort",ancient,Age (years ago) ,1
Equus caballus,"Chartres, boulevard de la Courtille",ancient,Age (years ago) ,17
Equus caballus,Capote,ancient,Age (years ago) ,1
Equus caballus,Capesterre-Belle-Eau,ancient,Age (years ago) ,1
Equus caballus,Cantorella,ancient,Age (years ago) ,1
Equus caballus,"Camino de las Yeseras, Madrid",ancient,Age (years ago) ,1
Equus caballus,"CGG_1_017038 838-64 Equus caballus Botay Chelyabinsk region\, Southwestern Russia",ancient,,1
Equus caballus,CGG_1_017010 715-660 Equus caballus Botay Northern Kazakhstan,ancient,,1
Equus caballus,Bruszcewo,ancient,Age (years ago) ,1
Equus caballus,BroughOfDeerness,ancient,Age (years ago) ,2
Equus caballus,Brough Of Deerness,ancient,Age (years ago) ,2
Equus caballus,Boz-Adyr,ancient,Age (years ago) ,2
Equus caballus,"Boves, chemin de Glisy",ancient,Age (years ago) ,1
Equus caballus,Botai,ancient,Age (years ago) ,12
Equus caballus,Berufjordur,ancient,Age (years ago) ,1
Equus caballus,Belkaragay,ancient,Age (years ago) ,2
Equus caballus,Belgheis,ancient,Age (years ago) ,1
Equus caballus,"Beauvais, la Maladrerie Saint-Lazare",ancient,Age (years ago) ,1
Equus caballus,"Beauvais, VIlliers-de-l'Isle Adam",ancient,Age (years ago) ,1
Equus caballus,Bateni,ancient,Age (years ago) ,1
Equus caballus,Bapska Gradac,ancient,Age (years ago) ,1
Equus caballus,Balagansk,ancient,Age (years ago) ,1
Equus caballus,Augusta Raurica - Schmidmatt,ancient,Age (years ago) ,2
Equus caballus,Augusta Raurica - Insula 8,ancient,Age (years ago) ,1
Equus caballus,Arzhan II,ancient,Age (years ago) ,4
Equus caballus,Arzhan I,ancient,Age (years ago) ,1
Equus caballus,Ancient horse from Yakutia,ancient,Age,2
Equus caballus,Altata,ancient,Age (years ago) ,1
Equus caballus,Alcáçova de Santarém,ancient,Age (years ago) ,1
Equus caballus,Actiparc,ancient,Age (years ago) ,6
Equus caballus,,ancient,Age (years ago) ,3
Equus asinus x caballus,Yenikapi,ancient,Age (years ago) ,12
Equus asinus x caballus,Saint-Quentin,ancient,Age (years ago) ,1
Equus asinus x caballus,Saint-Just-en-Chaussée,ancient,Age (years ago) ,2
Equus asinus x caballus,Saint-Claude,ancient,Age (years ago) ,1
Equus asinus x caballus,"Evreux, Clos-au-Duc",ancient,Age (years ago) ,2
Equus asinus x caballus,"Chartres, boulevard de la Courtille",ancient,Age (years ago) ,7
Equus asinus x caballus,,ancient,Age (years ago) ,2
Equus asinus,Yenikapi,ancient,Age (years ago) ,1
Equus asinus,Solothurn-Vigier,ancient,Age (years ago) ,1
Equus asinus,Boinville,ancient,Age (years ago) ,1
