BioProject,JoinCol,comment
PRJEB10098,Alias,other description is provided
PRJEB10854,,but lots of info in many columns Region of Origin
PRJEB12979,Alias,
PRJEB13863,,
PRJEB14651,Alias,
PRJEB14779,,
PRJEB19970,,donkey
PRJEB5942,Alias,
PRJEB9139,Alias,
PRJEB9267,Alias,
PRJEB9269,Alias,
PRJEB9799,,
PRJNA168142,BioSample,
PRJNA169102,BioSample,
PRJNA184688,BioSample,
PRJNA230019,,
PRJNA233529,Sample Name,
PRJNA233533,Sample Name,
PRJNA246445,,
PRJNA273402,,
PRJNA291776,,
PRJNA306677,,
PRJNA357976,,
SRP012260,Sample Name,
