Horse ID,Age (BP),Average depth-of-coverage
GVA124_CGG_1_019382,2143,2.24
GVA307_CGG_1_019857,2127,1.44
GVA308_CGG_1_019858,2312,3.58
GVA309_CGG_1_019859,2302,1.19
GVA311_CGG_1_019861,2253,1.7
Arz3_CGG_1_017089_i9_GATCAG_U.r.t.5p1.3p1.S,2717-2817,0.04
Arz15_CGG_1_017084_U_i4_TGACCA.r.t.3p1.S,2617-2667,0.13
Arz17_CGG_1_017086_U_i5_ACAGTG.r.t.3p1.S,2617-2667,0.06
Rus11_CGG_1_019162_i08_U_ACTTGA.r.t.3p2.S,2500,0.01
Rus9_CGG_1_019160,2500,2.31
JG160_CGG_1_019246,1717-1917,2.25
NB_K9279_CGG_1_020505_i65_CGGCAC_U.r.t.5p2.3p2.S,1617-1817,0.01
NB_P9261_CGG_1_020506_i66_CTCGGT_U.r.t.5p1.3p2.S,1677-1887,0.02
Rus19_CGG_1_019169_i3_TTAGGC_U.r.t.5p1.3p2.S,1817-2217,0.01
BAPSKA_unregistered_i63_CAACTG_U.r.t.3p1.S,1305,0.03
Rus16_CGG_1_019166,3350,4.78
GVA122_CGG_1_019380,317-517,1.32
GVA375_CGG_1_019925,417-517,8.98
Belgheis_TrBWBX116_CGG_1_019521,485,2.39
GVA191_CGG_1_019765,1617-1817,2.31
KYRH10_CGG_1_018031,1217,4.68
KYRH8_CGG_1_018029,1217,3.94
VHR010_CGG_1_020949_i74_GTGGGG_U.r.t.s.5p1.3p2.S,1317-1517,0.48
VHR011_CGG_1_020950_i76_TCAGCT_U.r.t.S,1317-1417,0.48
VHR037_CGG_1_020957_i60_ATTAAA_U.r.t.5p2.3p1.S,1317-1517,0.09
VHR062_CGG_1_020959_i75_TAGTAA_U.r.t.3p1.S,1317-1517,0.49
Bru4_CGG_1_018376,3617-4217,0.01
LIS2_Tr19_i8_ACTTGA_U.r.t.5p1.S,317-517,0.01
Cap102_CGG_1_016984,2117-2217,0.02
NB_Ra_8_49_CGG_1_020509_i69_GATGCA_U.r.t.5p1.3p2.S,1617-1717,0.02
GVA1_CGG_1_019259_i52_U_AAACAA.r.t.S,1917,0.09
GVA111_CGG_1_019369_i74_GTGGGG_U.r.t.5p2.3p1.S,1917,0.08
GVA112_CGG_1_019370_i11_GGCTAC_U.r.t.S,1917,0.11
GVA115_CGG_1_019373_i13_CTATCA_U.r.t.5p1.3p1.S,1917,0.15
GVA26_CGG_1_019284,1917,5.86
GVA28_CGG_1_019286_i2_CGATGT_U.r.t.S,1917,0.19
GVA36_CGG_1_019294,1917,1.49
GVA4_CGG_1_019262,1917,3.27
GVA43_CGG_1_019301,1917,4.73
GVA47_CGG_1_019305_i56_U_AGGGGA.r.t.3p1.S,1917,0.06
GVA48_CGG_1_019306_i57_U_ATACCT.r.t.S,1917,0.07
GVA53_CGG_1_019311_i71_GCTAGC_U.r.t.5p1.S,1917,0.07
GVA56_CGG_1_019314,1917,2.71
GVA60_CGG_1_019318_i72_GGGCCG_U.r.t.5p1.3p2.S,1917,0.09
GVA75_CGG_1_019333_i75_TAGTAA_U.r.t.5p1.S,1917,0.07
GVA81_CGG_1_019339,1917,3.09
GVA9_CGG_1_019267_i5_ACAGTG_U.r.t.s.S,1917,0.09
Georgia2_CGG_1_020266_i13_CTATCA_U.r.t.s.3p2.S,17-617,0.04
UE4618_CGG_1_020962,2672,3.46
GVA133_CGG_1_019707,1717-1917,1.71
GVA135_CGG_1_019709,1717-1917,0.87
GVA140_CGG_1_019714,1717-1917,1.52
Fen4_CGG_1_018396,2820,0.46
Fr1_CGG_1_018151,1863,3.47
Mon23_CGG_1_018059,2007,6.34
Mon24_CGG_1_018060,1993,5.12
Mon25_CGG_1_018061,2011,4.75
Mon26_CGG_1_018062,1988-2011,4.12
Mon27_CGG_1_018063,2011,4.05
KSH4_CGG_1_017098,3817-4217,2.49
KSH5_CGG_1_017099_i54_ACCATC_U.r.t.s.3p2.S,2217-2867,0.01
Kha2_t1_CGG_1_018909,2312,1.02
UCIE2012_85_,1177-1406,4.59
Rus48_CGG_1_019195_i77_TCCCGG_U.r.t.5p1.3p2.S,1446,0.16
MV178_CGG_1_020446,1694,0.09
GVA129_CGG_1_019387_i16_GTGTAT_U.r.t.3p1.S,217-317,0.02
GVA201_CGG_1_019775,1717-1817,2.17
Mzr1_CGG_1_018150,1373,2.95
Marvele01_CGG_1_019388,1087-1189,2.71
Marvele02_CGG_1_019389_i13_CTATCA_U.r.t.3p2.S,1087-1189,0.02
Marvele05_CGG_1_019392_i21_ACATAC_U.r.t.3p2.S,1087-1189,0.04
Marvele16_CGG_1_019403_i28_TCTCGC_U.r.t.5p2.S,1087-1189,0.04
Marvele18_CGG_1_019405,1189,3.48
Marvele21_CGG_1_019408,1087,2.3
Marvele22_CGG_1_019409_i46_CACGAA_U.r.t.S,1087-1189,0.02
Marvele27_CGG_1_019414_i47_CATAGA_U.r.t.S,1087-1189,0.01
Marvele32_CGG_1_019419,1144,4
GVA321_CGG_1_019871_i01_U_ATCACG.r.t.3p1.S,467-517,0.06
Mic2_CGG_1_018388_Enriched_i32_ACGCAT_U.r.t.s.S,3017-3517,0.01
Earb5_CGG_1_018497_i80_TTTTGG_U.r.t.3p1.S,105,0.13
Earb6_CGG_1_018495,89,1
NUSTAR4_CGG_1_020438_i60_ATTAAA_U.r.t.5p2.S,1187,0.1
NUSTAR5_,1187,4.07
Rus37_CGG_1_019185,830,1.29
Rus38_CGG_1_019186,659,0.5
OKG1_CGG_1_018397,2317-2417,0.03
OKG2_CGG_1_018398,2317-2417,3.45
Ote2_CGG_1_018473,1184,1.25
OTOK16_unregistered_i62_CAAAAT_U.r.t.S,1308,0.14
DaAn01_CGG_1_018337_i28_TCTCGC_U.r.t.3p1.S,3757-4042,0.02
VHR017_CGG_1_020952_i62_CAAAAT_U.r.t.s.3p1.S,1017-1217,0.85
Rid2_CGG_1_018469,2617-2817,4.42
Saa1_CGG_1_018474,1017,3.13
SAG_S27_CGG_1_019559,3117,1.25
GVA242_CGG_1_019816,2250,3.08
GVA237_CGG_1_019877_i55_AGATCG_U.r.t.3p1.S,1817-2017,0.04
Rus41_CGG_1_019189,2677,1.03
Svi6_CGG_1_018375,3617-4217,0.03
Seb131_CGG_1_018487_i1_ATCACG_U.r.t.5p2.3p1.S,1217-1417,0.01
AM115_CGG_1_018579,1557,6.88
NewBotai44_CGG_1_017036,3550-3604,0.09
NewBotai45_CGG_1_017037,3550-3604,0.19
NB_175_CGG_1_020499_i26_TGTGAC_U.r.t.5p1.3p2.S,1717-1917,0.02
NB_63_CGG_1_020512_i72_GGGCCG_U.r.t.5p1.3p2.S,1717-2017,0.04
Syr1_t1_c4_CGG_1_018920_i52_AAACAA_U.r.t.5p4.3p4.S,2217-2417,0.01
Hasanlu1140_CGG_1_019998_i4_TGACCA_U.r.t.5p2.3p2.S,2682,0.12
Hasanlu2327_CGG_1_019995_i56_AGGGGA_U.r.t.5p2.3p1.S,2417-2287,0.02
Hasanlu2529_CGG_1_019988_i57_ATACCT_U.r.t.3p1.S,2417-2287,0.01
Hasanlu2689_CGG_1_019996_i58_ATGAGC_U.r.t.5p1.3p2.S,2417-2287,0.01
Hasanlu3394_CGG_1_019997_i69_GATGCA_U.r.t.3p1.S,2808,0.05
Hasanlu3398_CGG_1_019986_i47_CATAGA_U.r.t.5p2.3p2.S,2417-2287,0.02
Hasanlu3461_CGG_1_020003_i37_ACTGCC_U.r.t.5p1.3p1.S,2930,0.07
Hasanlu368_CGG_1_019994_i52_AAACAA_U.r.5p2.3p1.S,2896,0.05
Upps02_CGG_1_018490,1217-1417,0.04
Mon37_CGG_1_018073,3039-3130,3.33
Mon39,3039-3130,4.04
Mon40_CGG_1_018076,3039-3130,0.22
Mon41_CGG_1_018077,3039-3130,2.43
Mon42_CGG_1_018078,3130,9.32
Mon43_CGG_1_018079,3120,4.92
Mon44_CGG_1_018080,3039-3130,2.36
Mon45_CGG_1_018081,3080,5.79
Mon79_CGG_1_018115,3039-3130,1.88
Mon87_CGG_1_018123,3117,3.82
Mon89_i28_TCTCGC_U.r.t.3p2.S,3039-3130,0.11
GVA199_CGG_1_019773,1717-1767,0.9
VIR175_CGG_1_016987_i41_TGTCTG.r.t.3p2.S,1617-1817,0.06
UK08_CGG_1_019435_i16_GTGTAT_U.r.t.5p2.3p1.S,1617-1717,0.08
UK15_CGG_1_019442,117-317,1.1
UK16_CGG_1_019443,117-317,2.4
UK17_CGG_1_019444,217-317,3.02
UK18_CGG_1_019445,217-317,2.01
UK19_CGG_1_019446,217-317,0.79
UK20_CGG_1_019447_i11_GGCTAC_U.r.t.5p2.3p1.S,217-317,0.08
Tur140_CGG_1_018706,1289,5.45
Tur141_CGG_1_018707,1430,4.52
Tur142_CGG_1_018708,1396,7.37
Tur145_CGG_1_018711,1156,7.49
Tur146_CGG_1_018712,1730,4.63
Tur150_CGG_1_018716,1156-1730,4.36
Tur170_CGG_1_018736,1156-1730,4.55
Tur171_CGG_1_018737,1689,6.64
Tur173_CGG_1_018739,1156-1730,2.65
Tur175_CGG_1_018741,1156-1730,2.51
Tur176_CGG_1_018742,1156-1730,2.57
Tur181_CGG_1_018747,1156-1730,2.61
Tur193_CGG_1_018759,1156-1730,3.3
Tur194_CGG_1_018760,1360,7.28
Tur229_CGG_1_018795,1156-1730,4.31
Tur243_CGG_1_018809,1156-1730,2.47
YER28_CGG_1_020254,2853,1.06
GVA310_CGG_1_019860_i56_AGGGGA_U.r.t.S,2319,2.62
Hasanlu2405_CGG_1_019992,2886,1.76
